MFG_TIME,SERIAL_NUMBER,BUILDING_NUMBER,LINE_NUMBER,TECHNICIAN_ID,MFG_SOFTWARE_VERSION,APPARATUS_TEMP,HUMIDITY
2022-06-01 08:03:06,X1000_20220601_14,B01,B,T010,v1.1.1,66.13661798612125,41.49754932458939
2022-06-01 08:06:01,X1000_20220601_85,B02,D,T015,v1.1.1,69.96204113902239,42.35827816860069
2022-06-01 08:12:32,X1000_20220601_32,B01,A,T011,v1.1.1,64.4775014765839,41.02838611830796
2022-06-01 08:20:57,X1000_20220601_73,B02,D,T015,v1.1.1,65.18735473097892,40.70436220830508
2022-06-01 08:25:03,X1000_20220601_18,B01,B,T010,v1.1.1,66.22224184979784,41.4236757502441
2022-06-01 08:30:47,X1000_20220601_20,B01,B,T010,v1.1.1,65.04939478986847,39.98771083121238
2022-06-01 08:34:28,X1000_20220601_26,B01,A,T011,v1.1.1,65.21746677717438,43.93106786227075
2022-06-01 08:47:54,X1000_20220601_28,B01,A,T011,v1.1.1,66.261306866986,42.74761907955583
2022-06-01 08:56:50,X1000_20220601_50,B02,C,T011,v1.1.1,62.05742824712172,39.664507839954155
2022-06-01 09:08:20,X1000_20220601_55,B02,C,T011,v1.1.1,65.01965348177035,43.434527792080765
2022-06-01 09:11:58,X1000_20220601_66,B02,C,T011,v1.1.1,63.57296474188622,42.33192034669966
2022-06-01 09:17:44,X1000_20220601_74,B02,D,T015,v1.1.1,70.58876990674908,37.05605082465047
2022-06-01 09:20:01,X1000_20220601_71,B02,D,T015,v1.1.1,67.11543389958446,40.64017056544788
2022-06-01 09:26:52,X1000_20220601_12,B01,B,T010,v1.1.1,61.68102500352273,43.648847112046454
2022-06-01 09:36:42,X1000_20220601_24,B01,B,T010,v1.1.1,64.14679957382606,41.051696874196836
2022-06-01 09:50:52,X1000_20220601_37,B01,A,T011,v1.1.1,62.91578985526247,42.88879033251544
2022-06-01 10:00:56,X1000_20220601_77,B02,D,T015,v1.1.1,64.56009082018637,44.56462401339085
2022-06-01 10:03:24,X1000_20220601_36,B01,A,T011,v1.1.1,65.32759286022095,45.34509266210418
2022-06-01 10:18:01,X1000_20220601_34,B01,A,T011,v1.1.1,66.15223159488905,40.04779730731303
2022-06-01 10:33:01,X1000_20220601_22,B01,B,T010,v1.1.1,62.77700432591824,38.66069377612478
2022-06-01 10:37:11,X1000_20220601_49,B02,C,T011,v1.1.1,62.501477846142606,44.79463064145013
2022-06-01 10:48:26,X1000_20220601_44,B01,A,T011,v1.1.1,65.43674821049245,42.502459659239655
2022-06-01 10:52:14,X1000_20220601_8,B01,B,T010,v1.1.1,63.638909943921924,39.96296547892483
2022-06-01 11:15:14,X1000_20220601_21,B01,B,T010,v1.1.1,62.141499070485715,42.83035639098702
2022-06-01 11:53:52,X1000_20220601_4,B01,B,T010,v1.1.1,63.39893432917604,41.845388866532396
2022-06-01 11:55:40,X1000_20220601_17,B01,B,T010,v1.1.1,64.35993148160492,38.83166618714587
